Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Acceptance criteria),Custom field (Commit),Custom field (Development),Custom field (DoD validée),Custom field (DoR validée),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Release),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Écrire tests système de logs,DJ-281,11565,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:43 PM,14/Nov/25 3:43 PM,,,,,0,,,,,,"*Objectif :* Écrire tests complets pour système de logs

*Tâches :*

* Tests unitaires LoggingService (enregistrement, catégorisation)
* Tests API endpoint /api/admin/logs
* Tests autorisation admin (403 si non-admin)
* Tests filtres et recherche
* Tests pagination et performance (gros volumes)
* Tests détection anomalies
* Tests frontend : affichage, filtres, recherche, détails
* Tests E2E : scénario complet consultation logs
* Tests rotation et archivage logs",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004dr:,,,,,,11205,DJ-117,Voir les logs d'activité,To Do,14/Nov/25 3:43 PM
Développer interface consultation logs,DJ-280,11563,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:43 PM,14/Nov/25 3:43 PM,,,,,0,,,,,,"*Objectif :* Développer interface de consultation des logs système

*Tâches :*

* Créer composant ActivityLogs
* Affichage liste logs avec pagination
* Filtres : niveau, catégorie, période, utilisateur
* Recherche texte dans les logs
* Code couleur par niveau (error rouge, warning orange, etc.)
* Modal détails complets pour chaque log
* Auto-refresh optionnel pour monitoring temps réel
* Export logs filtrés en CSV
* Design responsive et accessible",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004dj:,,,,,,11205,DJ-117,Voir les logs d'activité,To Do,14/Nov/25 3:43 PM
Créer API GET /api/admin/logs,DJ-279,11561,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:43 PM,14/Nov/25 3:43 PM,,,,,0,,,,,,"*Objectif :* Créer endpoint API pour consultation des logs d'activité

*Tâches :*

* Créer GET /api/admin/logs
* Authentification et autorisation admin requise
* Pagination obligatoire pour performance
* Filtres : level, category, userId, startDate, endDate
* Tri par date (desc par défaut)
* Recherche texte dans logs
* Formatage JSON avec metadata complète
* Documentation OpenAPI/Swagger",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004db:,,,,,,11205,DJ-117,Voir les logs d'activité,To Do,14/Nov/25 3:43 PM
Implémenter LoggingService et gestion logs,DJ-278,11559,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:43 PM,14/Nov/25 3:43 PM,,,,,0,,,,,,"*Objectif :* Créer service pour logging et gestion des logs d'activité

*Tâches :*

* Créer LoggingService avec méthodes enregistrement logs
* Logger tous événements importants (authentification, transactions, erreurs)
* Catégorisation logs par niveau (info, warning, error, critical)
* Stockage structuré avec metadata (userId, IP, timestamp, action)
* Détection automatique anomalies et tentatives fraude
* Rotation logs et archivage
* Indexation pour recherche rapide
* Conservation durée légale (RGPD)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004d3:,,,,,,11205,DJ-117,Voir les logs d'activité,To Do,14/Nov/25 3:43 PM
Écrire tests gestion utilisateurs,DJ-277,11557,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:42 PM,14/Nov/25 3:42 PM,,,,,0,,,,,,"*Objectif :* Écrire tests complets pour gestion utilisateurs

*Tâches :*

* Tests unitaires UserManagementService (block, unblock, delete)
* Tests API endpoints gestion utilisateurs
* Tests autorisation admin (403 si non-admin)
* Tests blocage : utilisateur ne peut plus se connecter
* Tests suppression : données conservées (achats) et supprimées (perso)
* Tests frontend : liste, filtres, actions, confirmations
* Tests E2E : scénario complet blocage et suppression
* Tests conformité GDPR (données personnelles)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004cv:,,,,,,11203,DJ-116,Gérer les utilisateurs,To Do,14/Nov/25 3:42 PM
Développer interface gestion utilisateurs,DJ-276,11555,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:42 PM,14/Nov/25 3:42 PM,,,,,0,,,,,,"*Objectif :* Développer interface admin de gestion des utilisateurs

*Tâches :*

* Créer composant UserManagement
* Afficher liste utilisateurs avec pagination
* Filtres recherche (nom, email, statut)
* Boutons actions : Bloquer, Débloquer, Supprimer
* Modal confirmation avant action destructive
* Affichage statut utilisateur (actif/bloqué/supprimé)
* Affichage détails utilisateur (achats, historique)
* Design responsive et accessible
* Loading states et error handling",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004cn:,,,,,,11203,DJ-116,Gérer les utilisateurs,To Do,14/Nov/25 3:42 PM
Créer API endpoints gestion utilisateurs,DJ-275,11553,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:42 PM,14/Nov/25 3:42 PM,,,,,0,,,,,,"*Objectif :* Créer endpoints API pour gestion utilisateurs par admin

*Tâches :*

* Créer GET /api/admin/users (liste avec pagination, filtres)
* Créer GET /api/admin/users/{userId} (détails utilisateur)
* Créer PUT /api/admin/users/{userId}/block (bloquer)
* Créer PUT /api/admin/users/{userId}/unblock (débloquer)
* Créer DELETE /api/admin/users/{userId} (suppression)
* Authentification et autorisation admin requise
* Validation paramètres et body
* Documentation OpenAPI/Swagger",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004cf:,,,,,,11203,DJ-116,Gérer les utilisateurs,To Do,14/Nov/25 3:42 PM
Implémenter UserManagementService,DJ-274,11551,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:42 PM,14/Nov/25 3:42 PM,,,,,0,,,,,,"*Objectif :* Créer service pour gestion et modération des utilisateurs

*Tâches :*

* Créer UserManagementService avec méthodes administration
* Méthode blockUser() pour bloquer un compte
* Méthode unblockUser() pour débloquer
* Méthode deleteUser() avec soft delete (GDPR compliant)
* Vérification permissions admin
* Conservation historique achats après suppression utilisateur
* Notification email utilisateur bloqué/supprimé
* Log toutes actions de modération (audit trail)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004c7:,,,,,,11203,DJ-116,Gérer les utilisateurs,To Do,14/Nov/25 3:42 PM
Écrire tests export données,DJ-273,11549,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:42 PM,14/Nov/25 3:42 PM,,,,,0,,,,,,"*Objectif :* Écrire tests complets pour fonctionnalité d'export

*Tâches :*

* Tests unitaires ExportService (formatage CSV, Excel)
* Tests API endpoint /api/admin/sales/export
* Tests autorisation admin (403 si non-admin)
* Tests filtrage par période
* Tests téléchargement fichier (headers, content-type)
* Tests frontend : sélection format, filtres, téléchargement
* Tests E2E : scénario complet export données
* Tests avec gros volumes de données (performance)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004bz:,,,,,,11201,DJ-115,Exporter les données de vente,To Do,14/Nov/25 3:42 PM
Développer interface export avec filtres,DJ-272,11547,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:41 PM,14/Nov/25 3:41 PM,,,,,0,,,,,,"*Objectif :* Développer interface d'export avec sélection format et filtres

*Tâches :*

* Créer composant SalesExport dans dashboard admin
* Boutons export CSV et Excel
* Sélecteur période (date picker startDate/endDate)
* Gestion téléchargement fichier
* Loading state pendant génération export
* Message confirmation succès téléchargement
* Error handling si export échoue
* Design cohérent avec dashboard admin",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004br:,,,,,,11201,DJ-115,Exporter les données de vente,To Do,14/Nov/25 3:41 PM
