GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
back,dev.jos.back.repository,EventTranslationRepository,15,0,0,0,3,0,2,0,2,0
back,dev.jos.back.util.enums,CartStatus,0,21,0,0,0,4,0,1,0,1
back,dev.jos.back.util.enums,Phases,0,105,0,0,0,18,0,1,0,1
back,dev.jos.back.util.enums,Role,0,21,0,0,0,4,0,1,0,1
back,dev.jos.back.util.enums,TransactionStatus,0,27,0,0,0,5,0,1,0,1
back,dev.jos.back.util.enums,TokenValidationResult,0,21,0,0,0,4,0,1,0,1
back,dev.jos.back.util.enums,PaymentMethod,0,15,0,0,0,3,0,1,0,1
back,dev.jos.back.util.enums,SupportedLocale,0,89,0,8,0,15,0,7,0,3
back,dev.jos.back.entities,Cart,0,17,0,4,0,5,0,3,0,1
back,dev.jos.back.entities,PasswordResetToken,0,18,0,0,0,7,0,1,0,1
back,dev.jos.back.entities,TwoFactorCode,0,9,0,0,0,3,0,1,0,1
back,dev.jos.back.config,SecurityConfig,0,181,0,0,0,19,0,4,0,4
back,dev.jos.back.config,AuthConfig,0,15,0,0,0,4,0,2,0,2
back,dev.jos.back.config,ResendConfig,0,8,0,0,0,2,0,2,0,2
back,dev.jos.back.config,CorsConfig,0,47,0,0,0,10,0,2,0,2
back,dev.jos.back.config,JwtAuthenticationFilter,73,0,6,0,20,0,6,0,3,0
back,dev.jos.back.config,GlobalExceptionConfig,67,167,2,0,16,29,5,2,4,2
back,dev.jos.back.config,PasswordEncoderConfig,0,7,0,0,0,2,0,2,0,2
back,dev.jos.back.exceptions.cart,CartNotFoundException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.exceptions.cart,CartItemNotFoundException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.dto.sport,UpdateSportDTO,0,18,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.sport,CreateSportDTO,0,15,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.sport,BulkSportResponseDTO,9,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.sport,SportResponseDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.exceptions.user,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.exceptions.user,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.exceptions.user,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.dto.cart,CartItemResponseDTO,0,21,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.cart,CartItemRequestDTO,0,12,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.cart,CartEventSummaryDTO,0,21,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.cart,CartResponseDTO,0,21,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.cart,CartItemUpdateDTO,0,6,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.cart,CartOfferSummaryDTO,0,15,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.payment,TicketGroupResponseDTO,0,30,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.payment,TicketResponseDTO,0,30,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.payment,TransactionResponseDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.payment,CheckoutRequestDTO,0,18,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.ticket,ScanResponseDTO,0,42,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.ticket,ScanRequestDTO,6,0,0,0,1,0,1,0,1,0
back,dev.jos.back,BackApplication,5,3,0,0,2,1,1,1,1,1
back,dev.jos.back.exceptions.sport,SportNotFoundException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.dto.user,UserResponseDTO,0,27,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.user,UpdateLocaleRequestDTO,6,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,CreateUserDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.user,ChangePasswordRequestDTO,9,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,LoginRequestDTO,9,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,LoginResponseDTO,6,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,ForgetPasswordRequestDTO,6,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,UpdateUserRoleDTO,6,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.user,UpdateUserRequestDTO,15,0,0,0,1,0,1,0,1,0
back,dev.jos.back.exceptions.twofactor,TwoFactorMaxAttemptsException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.exceptions.twofactor,TwoFactorCodeNotFoundException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.exceptions.twofactor,BadTwoFactorCodeException,0,4,0,0,0,2,0,1,0,1
back,dev.jos.back.mapper,TicketMapper,0,249,0,10,0,68,0,16,0,11
back,dev.jos.back.mapper,OfferMapper,0,61,0,0,0,21,0,4,0,4
back,dev.jos.back.mapper,CartMapper,0,122,0,0,0,39,0,4,0,4
back,dev.jos.back.mapper,EventMapper,0,88,0,0,0,30,0,4,0,4
back,dev.jos.back.mapper,UserMapper,0,51,0,0,0,19,0,3,0,3
back,dev.jos.back.mapper,SportMapper,0,64,0,2,0,23,0,5,0,4
back,dev.jos.back.util,CleanUp,8,0,0,0,4,0,2,0,2,0
back,dev.jos.back.util,PaymentResult,0,21,0,0,0,3,0,3,0,3
back,dev.jos.back.util,SlugUtils,17,0,0,0,6,0,2,0,2,0
back,dev.jos.back.util,LocaleResolver,0,4,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.offer,OfferResponseDTO,0,27,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.offer,CreateOfferDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.offer,BulkOfferResponseDTO,9,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto.offer,UpdateOfferDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.admin,SportSalesDTO,0,12,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.admin,OfferSalesDTO,0,15,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.admin,DashboardResponseDTO,0,24,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.admin,EventSalesDTO,0,18,0,0,0,1,0,1,0,1
back,dev.jos.back.controller,SportController,49,0,0,0,11,0,5,0,5,0
back,dev.jos.back.controller,OfferController,50,0,0,0,11,0,5,0,5,0
back,dev.jos.back.controller,TwoFactorController,28,0,0,0,6,0,3,0,3,0
back,dev.jos.back.controller,TicketValidationController,11,0,0,0,2,0,1,0,1,0
back,dev.jos.back.controller,AdminDashboardController,5,0,0,0,1,0,1,0,1,0
back,dev.jos.back.controller,CartController,61,0,0,0,15,0,5,0,5,0
back,dev.jos.back.controller,CheckoutController,63,0,0,0,15,0,4,0,4,0
back,dev.jos.back.controller,UserController,116,0,3,0,29,0,11,0,9,0
back,dev.jos.back.controller,EventController,86,0,0,0,20,0,9,0,9,0
back,dev.jos.back.controller,AuthController,267,0,8,0,62,0,9,0,5,0
back,dev.jos.back.dto.event,CreateEventDTO,0,39,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.event,UpdateEventDTO,0,39,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.event,EventResponseDTO,0,42,0,0,0,1,0,1,0,1
back,dev.jos.back.dto.event,BulkEventResponseDTO,9,0,0,0,1,0,1,0,1,0
back,dev.jos.back.dto,ErrorResponseDTO,19,0,0,0,2,0,2,0,2,0
